lon,lat,Name,bkp,img_url,wiki_url,Hoehe,Ordnung,Color
12.195139,50.831361,22. Reust,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Liesel_28-04-2012_Station_21_der_K%C3%B6niglich-s%C3%A4chsischen_Triangulation_R%C3%B6den.JPG/80px-Liesel_28-04-2012_Station_21_der_K%C3%B6niglich-s%C3%A4chsischen_Triangulation_R%C3%B6den.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Liesel_28-04-2012_Station_21_der_K%C3%B6niglich-s%C3%A4chsischen_Triangulation_R%C3%B6den.JPG/80px-Liesel_28-04-2012_Station_21_der_K%C3%B6niglich-s%C3%A4chsischen_Triangulation_R%C3%B6den.JPG,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#22._Reust,375,1,Red
12.221917,50.599139,23. Kuhberg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Triangulationspunkt_Kuhberg.jpg/80px-Triangulationspunkt_Kuhberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Triangulationspunkt_Kuhberg.jpg/80px-Triangulationspunkt_Kuhberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#23._Kuhberg,511,1,Red
12.508833,50.389556,24. Aschberg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamenac%2C_Vermessungss%C3%A4ule.jpg/80px-Kamenac%2C_Vermessungss%C3%A4ule.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamenac%2C_Vermessungss%C3%A4ule.jpg/80px-Kamenac%2C_Vermessungss%C3%A4ule.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#24._Aschberg,934,1,Red
12.300528,50.188139,25. Kapellenberg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Kapellenberg_Watch_Tower_2008-09-28.jpg/80px-Kapellenberg_Watch_Tower_2008-09-28.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Kapellenberg_Watch_Tower_2008-09-28.jpg/80px-Kapellenberg_Watch_Tower_2008-09-28.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#25._Kapellenberg,758,1,Red
11.949833,50.488361,26. Stelzen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/TS_Stelzen.jpg/80px-TS_Stelzen.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/TS_Stelzen.jpg/80px-TS_Stelzen.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#26._Stelzen,607,1,Red
11.643167,50.278278,27. Doebra,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#27._D%C3%B6bra,798,1,Red
11.809917,50.030751,28. Ochsenkopf,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#28._Ochsenkopf,1021,1,Red
13.834972,51.234222,29. Buchberg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Nagel-Buchberg.jpg/80px-Nagel-Buchberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Nagel-Buchberg.jpg/80px-Nagel-Buchberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#29._Buchberg,261,1,Red
13.566722,51.209667,30. Grossdobritz,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Grossdobritz.JPG/80px-Grossdobritz.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Grossdobritz.JPG/80px-Grossdobritz.JPG,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#30._Grossdobritz,197,1,Red
13.474694,51.239722,31. Baselitz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Baselitz.jpg/80px-Baselitz.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Baselitz.jpg/80px-Baselitz.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#31._Baselitz,215,1,Red
13.620722,51.312501,32. Basisende Quersa der Grossenhainer Grundlinie,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/32_Basisende_Quersa.jpg/80px-32_Basisende_Quersa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/32_Basisende_Quersa.jpg/80px-32_Basisende_Quersa.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#32._Basisende_Quersa_der_Grossenhainer_Grundlinie,141,1,Red
